number,short_description,close_notes,description
INC1014350,Install Oxygen,I met with Meg this morning and installed Oxygen 18.1 with the license code provided by Bill.  Let me know if anything isn't working quite right with the software and I'll be glad to assist.,"Good afternoon.

I would like to have Oxygen XML editor installed on my computer but, as a
new employee, I don't know how to get this process started. Thank you!

Meg Hixon
Processing Archivist
Special Collections Library, University of Michigan"
INC1013336,Software installation request:  Adobe Acrobat Pro X,Glad I could help! Please feel free to re-open this ticket if there are any issues with the software.,Customer would like Adobe Acrobat Pro X installed on their Mac
INC1009260,Software Request: n5 Publishing Software (Trial),"""n5 Publishing"" software installed successfully.","Hi:

I need help installing a trial of in5 Publising Software.  It works and
integrates with InDesign so it's not a separate program and I've already
downloaded the installation kit.  I just need the admin password and was
hitting some other roadblocks.

Let me know if/when you are able to help.  I can even bring my computer to
you.

Thanks!

Allison Kahler"
INC1003814,Please install Matlab and SWAT-CUP on Windows Computer,"Hi Awoke,

I'm closing this ticket and documenting that we installed SWAT-CUP and verified that both it and MatLab are running properly.  Let me know if you have any questions.

Thanks!

Michael Emery
NIT Central 2",
INC1003055,Needs SPSS installed on computer,"Hi Patty,

That's great to hear. I'll close the support ticket. You have a great weekend too.

Neil

================
On 2017-03-24 at 09:17:32 EDT clarkpat@umich.edu wrote

Hi Neil �
SPSS is successfully installed on my desktop computer!
Thank you so much � have a good weekend!
Patty
",
INC0992953,AutoCad Install,"Okay, I will close the request. Thank you.","Hello,

I am trying to install autoCad from Autodesk free software. I need to
access some CAD files for a project. I can't install without an
administrator password, however.

Or is there a umich AutoCad program that I can get on my computer?


Thank you!

-- 



Kate Bailey, Program Coordinator

University of Michigan

Michigan Sea Grant

520 E. Liberty, Suite 310

Ann Arbor, MI 48104

p: 734.763.1530

f: 734.647.0768

www.miseagrant.umich.edu"
INC0996626,Software Installation Request: https://www.privateinternetaccess.com (VPN),"Sweet!
Chase reports that he and Unit IT have set up the VPN.
The software update was already installed.
Happy Spring!
Jim Hoyt
ITS Frontline Support","Good morning,

I would like to install the Private Internet Access
<https://www.privateinternetaccess.com> VPN software on my laptop for
privacy and security when connecting to various WiFi networks. I also have
an update available for Duet <http://www.duetdisplay.com>, which needs an
admin password to install.

Can someone please remote-in to my computer to take care of these for me?

Thanks so much,

Chase Masters
-- 

------------------------------
Chase Masters, M.Ed. :: Enabling Technologies Informationist
Taubman Health Sciences Library :: University of Michigan"
INC0995560,please add the software LightWright to SMTD machine serial # C1MMV1TAF4JL,"
Henry,

Seems LightWright 6 is installed and working properly.
Have a nice evening.

Jon Hall 
ITS Neighborhood IT
","Please add the SMTD software LightWright to the machine with serial # C1MMV1TAF4JL via MSC.

Thank you.
_______________________________________________
Henry Reynolds
hpr@umich.edu
Computer Systems Administrator, Network Manager   &   Theatre Sound Engineer
for University Productions, Dept. of Theatre, Dept. of Musical Theatre
School of Music, Theatre and Dance
University of Michigan,     USA

734-936-5565 office/pager/cell/FAX        available almost 24/7

""He who would make his own liberty secure must guard even his enemy from oppression; for if he violates this duty he establishes a precedent that will reach to himself.""   --Thomas Paine,  American patriot"
INC0978949,Software installation request: SmartPLS 3.2,"No worries Sangseok. I'll go ahead and close this ticket for now but if there is anything else we can assist with from the 4HELP side of things, please let us know.

Regards,
Dmitri L.",Customer is currently working with the 30-day free trial of SmartPLS 3.2 Professional and states he would like a university license for it.
INC0969787,"""Go Animate"" Software",We will be happy to assist with the installation if you proceed with ordering the software. Thank you.,"I was told that U-M has this software and should not be a cost to us.  Can
you verify and let us know how AEC can access it?  Here is the link:
https://goanimate.com"
INC0983393,Install Switch Expert,"We have deployed ""Switch Expert"" software to your computer. It may take some time before it's ready to install, and it can't install when you're logged in.  If you leave your desk for lunch or at the end of the day, please logout of your computer and leave it sitting at the login screen, connected to a powersource.  The software will install while you're gone.  Please let us know if you have any trouble.","Request is for Gina M Carpenter (734) 763-7945

Please install Switch Expert via config-o-matic which should contain version 8.0.0.0 (Build 400) p1.954 onto her computer(s) and remove ver 8.0.0.0 (Build 400) p1.82."
INC0981380,"Laptop: Download ""Office Timeline"" Request","""Office Timeline"" installed.","I would like to download office timeline for my lap top. 
https://www.officetimeline.com/download - Contact user by Email"
INC0978393,Request for Photoshop Install,Thank you.,Carson has requested that photoshop be installed on the machine in 2249 - 523 SOUTH DIVISION BUILDING. Software center does not seem to be functioning properly and will require a desk side visit. 
INC0975017,Software installs needed for M-2UA6251VH7,"Hello Mark,

I moved the computer from 3040 to 3355 and set up the monitor. I also installed the software on the computer, I apologize if you received a bunch of emails for software installs. Some of the software had to be installed using a trial version because I don't have the licence for it, and I wanted you to be aware of when they expire. Rhino is one of the programs that was installed using the trial version we can discuss with Moe how to get the full version. I also didn't see arcgis so I pushed it and left the desktop in the log off state, if you don't see arcgis please let me know. Please feel free to let me know if you have further questions. 

Thanks,

Tim Collier","Hello

I'd like to request some software to be installed on a new MI-Workspace
computer, MIWS0019702.

Requested software:

AutoCAD
Rhino
Grasshopper
LandsDesign
Sketchup
Adobe Photoshop
Adobe Illustrator
Unity3D
Gimp
Audacity

Please let me know if you need any further information.

All the best
Mark

-- 
Mark Lindquist, PhD ASLA
Assistant Professor of Landscape Architecture
School of Natural Resources and Environment
University of Michigan, Ann Arbor MI 48109-1041
marklin@umich.edu | (734) 763 8650
*http://www.snre.umich.edu/profile/mark_lindquist_phd
<http://www.snre.umich.edu/profile/mark_lindquist_phd>*"
INC0958924,Request to install MS Visual Studio,Please feel free to re-open this ticket if you still require assistance with obtaining/installing Microsoft Visual Studio.,Customer would like Visual Studio installed on their machine.
INC0972276,Upgrade Office to Office 2016,this is completed,at the Unit IT request.
INC0968682,Software Request for Microsoft Visio,"Microsoft Visio 2010 Professional is now reinstalled and functioning on Shawn's computer MIWS0015962 (M-2UA6031Z1B).


Trey Helwig
Desktop Support Specialist Associate
Neighborhood IT/Front Line Support",I used to have microsoft Vizio and need to open some files can you load this on my computer?
INC0969378,Software hand install,"Good morning Sushovita, I was able to remote into your computer and provide administrative credentials in order to further the installation of Gen5 on your computer.

I wanted to thank you for your patience, and to let you know that If you ever happen to have any questions or concerns please don't hesitate to give us a call.

Sincerely,
Robyn Forster
ITS Service Center
734-764-4357",Sushovita called in requesting the installation of Gen5
INC0963647,Box,I pushed Box software to Rick's computer,"Yvette,

I used to have an icon on the lower right of my computer where I could get into M-Box.  Can you put that on this new computer too?
thanks,
Rick"
INC0962254,Software,this is completed.,"Yvette

I can not find Microsoft Movie Maker on my new lap top.  Could you check if it was installed on it?  I did a search and it did not come up.  Also this lap top does not have the IEEE 1394 fire wire connection.  Could I have it added or an adapter so I can down load our competition videos from our camcorder?

Thanks"
INC0961918,New Computer,this is completed,"Something within internet explorer is making it so I can't see some things on the Nike website I use.  They suggested I use Firefox, but I don't see it on here.  Can you help?

thanks,
Rick"
INC0962807,Service Request: Victor Vaughan RM 109,"OK, I will go ahead and close the ticket.  Hope you have a great weekend!

- Kris, NIT","Good Afternoon,

Dr. Carol Persad has requested a CD program be installed on the workstation
in RM 109 at Victor Vaughan.
I had the program disc in my office, RM 117. It is titled, ""CMS Scoring
Assistant"".

Please let me know if you have any questions.
Regards,
*Kimberly Casto*
*University Center for Language and Literacy*
*PH# 734-647-2488*
*Fax# 734-647-2489*"
INC0942721,Miworkspace Software Request (Adobe Livecycle Designer),"Software Installed! Let  me know if you ever need anything!

-Ryan","Requester Name: Kellie Carpenter
Date Needed: As soon as possible
Department Name:  VP Academic & Graduate Study
Unit:  Bentley Historical Library
Computer Name: M-5CG5515HLX
Location of Machine: BENTLEY ALVIN M & ARVELLA D HISTORICAL LIBRARY
Full Name of Software (including company name if known): Adobe Livecycle Designer
Software Version: Most recent"
INC0954811,Office 2016 Installation,"Kaitlin is all set.. Installed printers and checked for UHD -- essentially provided a day 1. 

Matt Dodak
NIT Central Campus 5",Tried to install 2016 from Software Center and it won't allow her to install even after a reboot. 
INC0964443,Install GoldenThread in lab,Software installed and tested. ,"Paul had originally asked to install a certificate to remote into the GoldenThread remote app on the SI server. This proved problematic in that there are firewall settings that we could not overcome, so Paul asked for the client to be installed on the machine."
INC0964435,Install GoldenThread in lab,Software installed and tested. ,"Paul had originally asked to install a certificate to remote into the GoldenThread remote app on the SI server. This proved problematic in that there are firewall settings that we could not overcome, so Paul asked for the client to be installed on the machine."
INC0964429,Install GoldenThread on lab machine,Software installed and tested. ,"Paul had originally asked to install a certificate to remote into the GoldenThread remote app on the SI server. This proved problematic in that there are firewall settings that we could not overcome, so Paul asked for the client to be installed on the machine. "
INC0962904,Sigma Plot Install,"Installed requested software onto machine. Tested, verified by customer, all works. Closing tag.

- DJ","Hello

One of my labmates just had Sigma Plot installed onto his lab computer, and
I was wondering if I could get that installed onto my computer as well. I'm
in COP 3028.

Thank you

Phil

-- 
Phillip Rzeczycki
Ph. D Candidate, Pharmaceutical Sciences
University of Michigan
Rosania Lab"
INC0960040,Software Install,"Hi Jodie,

I am resolving your ticket as we were told it can be closed by Jerome.

Thank you
Shannon","Hi,

I am trying to install this software and am not sure how to go about it.

http://docs.pybossa.com/en/latest/installing_pybossa.html

-- 
Jodie Neale
Dean's Special Projects Assistant
U-M School of Social Work
1080 S. University, Room 3757
Ann Arbor, MI 48109-1106
(734) 647-3651"
INC0962797,Wants to install Mendelay Desktop for class,"Jeremy,
I'm closing this ticket out on my end for the software installation, Jerome has requested you contact him via email as he would like to get some more information from you about your software installation request. Please contact Jerome Rork at jdrork@umich.edu. Let him know what your request is and he will get this information. Have a wonderful day!",This is a shared machine that a student would like to get freeware installed on. Contacting Jerome Rork to get approval. 
INC0961406,SOE Camtasia Software Request,"Shamille,

Since I got correspondence from you acknowledging my message about the Software Center, I will assume that Camtasia will install correctly and close this incident since you said you would contact the Service Center if you had problems installing the software.  Please don't hesitate to contact us if you do have issues with it installing correctly.

Zachary Power
Neighborhood IT","Hello,

I would like to request Camtasia software for myself and Laura Mayers.
Please advise on next steps.

Laura's computer: MIWS0017423
Shamille's computer: MIWS0010430

Thanks, Shamille

*---*
*Shamille Orr*
Associate Director of Student Affairs and Career Services
Office of Student Affairs, University of Michigan School of Education
610 E. University, Suite 1228, Ann Arbor, MI 48109-1259
(O) 734-764-7569 | (F) 734-647-9158 | www.soe.umich.edu
shamille@umich.edu | Schedule a career advising appointment
<http://www.meetme.so/soecareer>"
